crop_year,ca_wine_tons_crushed,ca_gallons_wine_produced,tons_per_gallon_ratio,source_crush,source_ttb
2000,96002.5,,,USDA NASS Grape Crush Report,
2001,157083.9,,,USDA NASS Grape Crush Report,
2002,143568.3,,,USDA NASS Grape Crush Report,
2003,132142.6,,,USDA NASS Grape Crush Report,
2004,149931.7,,,USDA NASS Grape Crush Report,
2005,108698.0,,,USDA NASS Grape Crush Report,
2006,110679.2,,,USDA NASS Grape Crush Report,
2007,131713.9,,,USDA NASS Grape Crush Report,
2008,235604.0,,,USDA NASS Grape Crush Report,
2009,118200.4,,,USDA NASS Grape Crush Report,
2010,171780.2,,,USDA NASS Grape Crush Report,
2011,162666.3,,,USDA NASS Grape Crush Report,
2012,152234.6,,,USDA NASS Grape Crush Report,
2013,155707.2,,,USDA NASS Grape Crush Report,
2014,126493.3,,,USDA NASS Grape Crush Report,
2015,113560.3,,,USDA NASS Grape Crush Report,
2016,152882.3,,,USDA NASS Grape Crush Report,
2017,156446.8,,,USDA NASS Grape Crush Report,
2018,157092.3,,,USDA NASS Grape Crush Report,
2019,172153.6,,,USDA NASS Grape Crush Report,
2020,127143.3,,,USDA NASS Grape Crush Report,
2021,154348.9,,,USDA NASS Grape Crush Report,
2022,2737620.7,,,USDA NASS Grape Crush Report,
2023,2834687.5,,,USDA NASS Grape Crush Report,
2024,2259954.0,,,USDA NASS Grape Crush Report,
