crop_year,report_type,source_url,first_ingested_at
2000,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2000/,2026-03-10T18:19:18.198194+00:00
2001,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2001/,2026-03-10T18:19:18.198194+00:00
2002,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2002/,2026-03-10T18:19:18.198194+00:00
2003,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2003/,2026-03-10T18:19:18.198194+00:00
2004,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2004/,2026-03-10T18:19:18.198194+00:00
2005,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2005/,2026-03-10T18:19:18.198194+00:00
2006,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2006/,2026-03-10T18:19:18.198194+00:00
2007,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2007/,2026-03-10T18:19:18.198194+00:00
2008,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2008/,2026-03-10T18:19:18.198194+00:00
2009,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2009/,2026-03-10T18:19:18.198194+00:00
2010,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2010/,2026-03-10T18:19:18.198194+00:00
2011,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2011/,2026-03-10T18:19:18.198194+00:00
2012,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2012/,2026-03-10T18:19:18.198194+00:00
2013,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2013/,2026-03-10T18:19:18.198194+00:00
2014,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2014/,2026-03-10T18:19:18.198194+00:00
2015,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2015/,2026-03-10T18:19:18.198194+00:00
2016,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2016/,2026-03-10T18:19:18.198194+00:00
2017,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2017/,2026-03-10T18:19:18.198194+00:00
2018,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2018/,2026-03-10T18:19:18.198194+00:00
2019,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2019/,2026-03-10T18:19:18.198194+00:00
2020,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2020/,2026-03-10T18:19:18.198194+00:00
2021,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2021/,2026-03-10T18:19:18.198194+00:00
2022,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2022/,2026-03-10T18:19:18.198194+00:00
2023,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2023/,2026-03-10T18:19:18.198194+00:00
2024,Final,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Specialty_and_Other_Releases/Grapes/Crush/Final/2024/,2026-03-10T18:19:18.198194+00:00
