id,crop_year,district_id,variety_code,grape_type_code,brix_code,brix_value,wt_price_per_ton,tons_crushed,report_type
2cb692cc4b82ed07,2000,1,91039,7,0010,,1500.0,5.8,Final
e59f5359ceab1b6d,2000,1,62594,7,5043,5.043,702.27,233.5,Final
aa66f402d1a473cd,2000,1,93146,7,3895,3.895,400.0,82.7,Final
85aba0f375d4509c,2000,1,80213,7,0980,0.98,750.0,12.3,Final
0b1f0b1521083b67,2000,1,46999,7,0475,0.475,400.0,3.4,Final
ba92c18e8e9b8b3b,2000,1,38174,7,1370,1.37,800.0,6.2,Final
cee59d5bc15f38a3,2000,1,32623,7,0630,0.63,600.0,4.8,Final
0220cbbba3f21237,2000,1,45183,7,0010,,1800.0,23.9,Final
5dd5783b6812f06c,2000,1,60317,7,0220,0.22,1500.0,19.4,Final
3998e17415d00fb3,2000,1,82076,7,0010,,1579.47,23.0,Final
48fd5f0583819da8,2000,1,99582,7,0800,0.8,550.0,9.4,Final
e54c8a09883015a2,2000,1,91155,7,1210,1.21,1200.0,40.9,Final
714d92bd8fb77a25,2000,1,84170,7,0220,0.22,1000.0,9.5,Final
4898377a0d0e2d9b,2000,1,91354,7,0010,,1800.0,13.8,Final
6c7b9cab1de3ce22,2000,1,51980,7,4640,4.64,700.0,34.9,Final
9a71496528ded3ff,2000,1,79539,7,5620,5.62,800.0,14.5,Final
38109cee0a596b74,2000,1,23534,7,0010,,1700.0,25.6,Final
2494039a054fff6b,2000,1,89075,7,0010,,1500.0,87.4,Final
c5b81be1f25d0590,2000,1,32683,7,0190,0.19,750.0,2.9,Final
40c295268468f57e,2000,1,92789,7,0010,,1400.0,10.9,Final
26b36e6462a50090,2000,1,96341,6,0230,0.23,1000.0,1.5,Final
62bf45508d9eb953,2000,1,25250,6,0010,,1500.0,13.8,Final
88944153056f3473,2000,1,68291,6,0220,0.22,2100.0,0.4,Final
922922fa0d223e6c,2000,1,65102,6,6123,6.123,1450.0,69.6,Final
c1a821932e072379,2000,1,60420,6,1210,1.21,1300.0,25.3,Final
c6af744f8c1bda5f,2000,1,55894,6,3935,3.935,207.58,5.8,Final
80cc8c1881be8a78,2000,1,47684,6,3380,3.38,1600.0,11.5,Final
d8ccd3cc6db568b2,2000,1,49411,6,0780,0.78,1000.0,11.1,Final
8cf14b20ba5bb426,2000,1,31159,6,0010,,1553.0,2.0,Final
708622d75fee5f6a,2000,1,69496,6,5043,5.043,400.0,3.5,Final
4360828dcb85a27a,2000,1,14303,6,1260,1.26,1000.0,11.6,Final
e249338c4dc1946b,2000,1,41265,6,0220,0.22,2100.0,3.7,Final
b88dfd5124bc1c86,2000,1,50245,6,5308,5.308,1000.0,36.3,Final
58fca02c31b25caa,2000,1,44477,6,0010,,1400.0,1.9,Final
29810d7b37b56b6b,2000,1,45369,6,0010,,1700.0,5.6,Final
