crop_year,grape_type_code,grape_type_name,avg_price_per_ton,total_tons,num_records
2000,6,Wine Grapes (Red),820.0241057934509,56876.7,397
2000,7,Wine Grapes (White),727.1596311475411,39125.8,244
2001,6,Wine Grapes (Red),795.3708620689655,98116.5,406
2001,7,Wine Grapes (White),720.531286307054,58967.4,241
2002,6,Wine Grapes (Red),736.0082082324456,104970.7,413
2002,7,Wine Grapes (White),702.6777777777778,38597.6,234
2003,6,Wine Grapes (Red),678.070145631068,56261.5,412
2003,7,Wine Grapes (White),639.1144583333333,75881.1,240
2004,6,Wine Grapes (Red),727.627,58430.6,430
2004,7,Wine Grapes (White),677.475657370518,91501.09999999999,251
2005,6,Wine Grapes (Red),767.8014678899083,54463.299999999996,436
2005,7,Wine Grapes (White),706.9730711610487,54234.700000000004,267
2006,6,Wine Grapes (Red),794.3961764705882,58700.2,442
2006,7,Wine Grapes (White),738.9988235294118,51979.0,272
2007,6,Wine Grapes (Red),773.6540563991324,44077.3,461
2007,7,Wine Grapes (White),766.2573188405797,87636.6,276
2008,6,Wine Grapes (Red),1029.6891136801542,102413.0,519
2008,7,Wine Grapes (White),874.9444368600682,133191.0,293
2009,6,Wine Grapes (Red),809.8632974137931,53286.0,464
2009,7,Wine Grapes (White),743.9365870307167,64914.4,293
2010,6,Wine Grapes (Red),756.86744813278,58792.9,482
2010,7,Wine Grapes (White),830.54022875817,112987.3,306
2011,6,Wine Grapes (Red),808.2596822033898,74661.6,472
2011,7,Wine Grapes (White),882.5311180124224,88004.7,322
2012,6,Wine Grapes (Red),929.4038188976378,67956.8,508
2012,7,Wine Grapes (White),897.9933432835821,84277.8,335
2013,6,Wine Grapes (Red),900.1843217054263,52180.1,516
2013,7,Wine Grapes (White),861.7645906432748,103527.1,342
2014,6,Wine Grapes (Red),963.9134905660378,58801.600000000006,530
2014,7,Wine Grapes (White),902.1595562130177,67691.7,338
2015,6,Wine Grapes (Red),1013.671493123772,62868.4,509
2015,7,Wine Grapes (White),988.230764525994,50691.9,327
2016,6,Wine Grapes (Red),1058.7490211132438,76758.1,521
2016,7,Wine Grapes (White),1054.3124107142855,76124.2,336
2017,6,Wine Grapes (Red),1069.5896737044145,61309.4,521
2017,7,Wine Grapes (White),1124.83646884273,95137.4,337
2018,6,Wine Grapes (Red),1059.951992409867,77083.8,527
2018,7,Wine Grapes (White),1158.5609831460674,80008.5,356
2019,6,Wine Grapes (Red),1040.5650850661627,98517.1,529
2019,7,Wine Grapes (White),1145.6489235127478,73636.5,353
2020,6,Wine Grapes (Red),1022.44614,56472.2,500
2020,7,Wine Grapes (White),1132.4532386363635,70671.1,352
2021,6,Wine Grapes (Red),1207.0841947565543,73372.0,534
2021,7,Wine Grapes (White),1204.953166226913,80976.9,379
2022,6,Wine Grapes (Red),3803.1223885618165,1533466.5,10701
2022,7,Wine Grapes (White),2200.2953365944563,1204154.2,4293
2023,6,Wine Grapes (Red),3994.074815133276,1494856.9,11630
2023,7,Wine Grapes (White),2306.527981963928,1339830.6,4990
2024,6,Wine Grapes (Red),4266.67758082385,1135370.1,9929
2024,7,Wine Grapes (White),2320.034335483871,1124583.9,4650
